医師コード,氏名,KOL,論文執筆数,年齢,性別,専門医かどうか,施設タイプ,該当施設におけるA社全製品の売上: 直近1年間,MR訪問回数: 直近3ヶ月,MR電話回数: 直近3ヶ月,MRビデオ会議回数: 直近3ヶ月,webセミナー channelA 参加回数: 直近3ヶ月,webセミナー channelB 参加回数: 直近3ヶ月,webセミナー channelC 参加回数: 直近3ヶ月,製品説明会への参加,eDTL channelA アクセス数: 直近3ヶ月,eDTL channelB アクセス数: 直近3ヶ月,eDTL channelC アクセス数: 直近3ヶ月,eDTL channelC 開封数: 直近3ヶ月,自社医療関係者向けサイト 資料ダウンロード: 直近3ヶ月,自社医療関係者向けサイト メルマガクリック数: 直近3ヶ月,営業エリアでの過去の導入施設数: 直近1ヶ月,処方したかどうか
22,田中 彩,0.0,0.0,35,男,専門医ではない,GP&HP,1900,9.0,13.0,14.0,1.0,0.0,1.0,1.0,1,3,0,7.0,no,3,3,0
23,鈴木 花子,0.0,0.0,42,男,専門医,HP,2000,3.0,12.0,10.0,,0.0,0.0,0.0,0,1,0,3.0,yes,6,6,0
24,小林 彩,0.0,1.0,37,男,専門医,GP&HP,1100,2.0,4.0,13.0,0.0,1.0,0.0,0.0,0,1,1,0.0,yes,4,3,0
25,伊藤 太郎,0.0,0.0,47,男,専門医ではない,GP,1400,2.0,5.0,19.0,0.0,0.0,1.0,0.0,3,0,0,3.0,no,3,2,0
26,田中 一郎,0.0,2.0,49,女,専門医ではない,HP,1100,4.0,15.0,14.0,0.0,1.0,0.0,0.0,2,0,0,4.0,no,1,2,0
27,田中 美咲,0.0,1.0,57,男,専門医ではない,GP&HP,1200,2.0,0.0,10.0,1.0,1.0,2.0,0.0,1,1,0,7.0,no,5,2,0
28,山本 彩,0.0,1.0,51,男,専門医ではない,HP,1800,2.0,3.0,6.0,1.0,1.0,0.0,0.0,1,0,0,2.0,no,2,4,0
29,渡辺 健太,0.0,1.0,54,男,専門医ではない,HP,2200,1.0,5.0,2.0,1.0,1.0,0.0,0.0,1,0,1,3.0,no,3,6,1
30,渡辺 優子,0.0,0.0,52,男,専門医ではない,GP&HP,1500,7.0,13.0,23.0,0.0,1.0,0.0,1.0,0,0,0,4.0,no,1,4,0
31,山本 太郎,0.0,1.0,38,男,専門医ではない,GP,1700,2.0,15.0,12.0,0.0,0.0,0.0,0.0,0,0,0,1.0,yes,3,8,0
32,加藤 大輔,0.0,1.0,31,男,専門医ではない,HP,1300,8.0,15.0,10.0,1.0,0.0,1.0,,0,0,0,4.0,yes,2,5,0
33,佐藤 一郎,0.0,1.0,50,男,専門医ではない,GP&HP,1300,3.0,2.0,7.0,1.0,2.0,2.0,0.0,5,1,1,14.0,no,2,2,0
34,渡辺 花子,0.0,0.0,43,男,専門医ではない,GP&HP,2000,1.0,6.0,12.0,1.0,0.0,0.0,0.0,1,0,0,1.0,no,3,7,0
35,中村 一郎,0.0,1.0,44,女,専門医,GP,1100,3.0,7.0,4.0,0.0,1.0,0.0,0.0,1,1,1,5.0,no,1,4,0
36,佐藤 美咲,0.0,0.0,77,男,専門医ではない,GP&HP,1500,1.0,15.0,32.0,0.0,0.0,1.0,0.0,0,3,2,4.0,no,5,3,0
37,山本 健太,1.0,0.0,38,女,専門医ではない,HP,1000,23.0,13.0,8.0,1.0,1.0,0.0,0.0,1,0,1,10.0,no,2,5,0
38,鈴木 優子,0.0,0.0,66,男,専門医ではない,HP,2100,3.0,9.0,7.0,1.0,0.0,1.0,1.0,0,0,0,4.0,no,2,2,0
39,鈴木 翔,1.0,1.0,74,男,専門医ではない,HP,1200,6.0,3.0,7.0,1.0,0.0,1.0,0.0,1,0,2,3.0,no,2,2,0
40,高橋 健太,0.0,1.0,50,男,専門医ではない,GP,1500,2.0,23.0,9.0,1.0,1.0,1.0,0.0,2,0,1,10.0,yes,2,3,0
41,佐藤 翔,0.0,1.0,70,男,専門医ではない,GP,1500,2.0,2.0,26.0,1.0,1.0,0.0,0.0,0,0,2,2.0,no,6,3,0
42,伊藤 結衣,1.0,1.0,49,男,専門医ではない,HP,1100,2.0,4.0,10.0,0.0,0.0,0.0,0.0,2,0,1,2.0,yes,2,4,0
43,山本 大輔,0.0,1.0,36,男,専門医ではない,GP,1700,3.0,5.0,10.0,1.0,0.0,1.0,0.0,0,2,1,5.0,no,3,2,0
44,伊藤 大輔,0.0,1.0,36,女,専門医ではない,GP&HP,1100,8.0,2.0,13.0,1.0,2.0,0.0,0.0,2,0,5,2.0,yes,2,1,0
45,中村 健太,1.0,0.0,63,男,専門医,HP,2600,6.0,9.0,6.0,0.0,1.0,1.0,0.0,0,2,0,2.0,no,2,1,0
46,佐藤 大輔,0.0,0.0,41,女,専門医,GP&HP,2600,2.0,2.0,10.0,0.0,1.0,0.0,0.0,0,2,0,6.0,no,1,3,0
47,鈴木 美咲,0.0,1.0,42,男,専門医ではない,GP,1600,1.0,10.0,21.0,0.0,0.0,1.0,0.0,0,1,0,6.0,no,2,3,0
48,伊藤 翔,0.0,1.0,71,男,専門医ではない,HP,1800,3.0,10.0,12.0,1.0,0.0,0.0,0.0,0,3,1,6.0,yes,2,2,0
49,鈴木 美咲,0.0,1.0,60,男,専門医ではない,GP,2100,7.0,10.0,6.0,0.0,0.0,0.0,0.0,0,2,1,8.0,no,3,2,0
50,高橋 翔,1.0,1.0,76,男,専門医ではない,GP&HP,1500,5.0,4.0,7.0,0.0,0.0,1.0,0.0,1,0,0,2.0,yes,2,2,0
51,小林 翔,0.0,1.0,32,男,専門医ではない,GP,1600,5.0,11.0,19.0,0.0,1.0,1.0,0.0,1,2,0,4.0,no,3,3,1
52,小林 花子,0.0,1.0,77,女,専門医ではない,HP,2600,15.0,1.0,11.0,1.0,1.0,0.0,0.0,0,1,1,6.0,no,2,2,0
53,渡辺 彩,0.0,,51,男,専門医,HP,1000,9.0,1.0,14.0,0.0,0.0,1.0,0.0,1,0,0,8.0,no,5,1,0
54,佐藤 結衣,0.0,0.0,77,男,専門医ではない,GP,1800,4.0,15.0,12.0,0.0,1.0,0.0,0.0,2,1,1,2.0,yes,2,0,0
55,加藤 翔,0.0,1.0,38,男,専門医ではない,HP,1800,2.0,,,1.0,1.0,1.0,0.0,1,1,1,1.0,yes,4,2,0
56,佐藤 健太,0.0,0.0,58,女,専門医ではない,HP,1100,5.0,6.0,29.0,1.0,0.0,1.0,1.0,1,0,0,11.0,no,4,1,1
57,加藤 結衣,0.0,1.0,54,男,専門医ではない,GP&HP,1300,3.0,9.0,9.0,0.0,0.0,2.0,0.0,1,2,1,5.0,yes,1,1,1
58,加藤 彩,1.0,2.0,70,男,専門医ではない,HP,1700,1.0,14.0,25.0,1.0,1.0,2.0,0.0,1,1,0,2.0,no,4,4,0
59,伊藤 彩,0.0,1.0,68,女,専門医,HP,1200,3.0,14.0,3.0,2.0,0.0,0.0,0.0,1,1,0,5.0,yes,1,2,0
60,小林 健太,0.0,0.0,30,男,専門医,HP,1400,3.0,22.0,14.0,1.0,0.0,0.0,0.0,0,0,0,2.0,yes,3,5,0
61,加藤 翔,0.0,0.0,57,男,専門医ではない,GP,1700,4.0,4.0,39.0,0.0,,0.0,0.0,0,11,1,12.0,no,2,1,0
62,田中 太郎,0.0,0.0,31,男,専門医ではない,GP&HP,2500,2.0,10.0,4.0,0.0,0.0,2.0,0.0,2,0,0,3.0,no,1,0,0
63,伊藤 翔,0.0,1.0,38,男,専門医ではない,GP,2700,12.0,9.0,9.0,0.0,1.0,1.0,,1,0,0,5.0,no,3,0,0
64,鈴木 翔,0.0,0.0,65,男,専門医ではない,GP&HP,1000,6.0,14.0,8.0,1.0,0.0,0.0,0.0,0,0,1,4.0,yes,1,3,0
65,中村 一郎,0.0,0.0,57,男,専門医ではない,GP,1600,0.0,3.0,17.0,0.0,0.0,0.0,0.0,5,2,2,5.0,yes,2,2,0
66,佐藤 花子,0.0,0.0,62,男,専門医ではない,GP,1600,3.0,1.0,9.0,1.0,1.0,1.0,0.0,0,1,0,9.0,no,3,2,0
67,小林 結衣,0.0,,73,男,専門医ではない,GP&HP,1100,1.0,5.0,4.0,1.0,0.0,0.0,0.0,0,1,0,8.0,no,3,8,0
68,加藤 一郎,1.0,2.0,76,男,専門医ではない,GP&HP,1900,2.0,5.0,7.0,1.0,0.0,1.0,0.0,1,1,0,8.0,no,4,2,0
69,中村 花子,0.0,1.0,45,男,専門医ではない,HP,1300,4.0,6.0,9.0,1.0,0.0,0.0,0.0,0,0,1,5.0,yes,3,4,0
70,伊藤 美咲,0.0,2.0,34,男,専門医ではない,GP,3800,9.0,,16.0,2.0,3.0,,1.0,0,0,1,1.0,yes,4,2,1
71,佐藤 太郎,0.0,,74,男,専門医ではない,HP,2200,1.0,3.0,13.0,0.0,1.0,0.0,0.0,3,1,3,3.0,no,2,2,0
72,佐藤 太郎,0.0,0.0,71,男,専門医ではない,GP,1700,0.0,11.0,9.0,1.0,0.0,1.0,,1,0,0,3.0,yes,1,7,0
73,加藤 健太,0.0,,39,男,専門医ではない,GP&HP,1900,2.0,1.0,11.0,0.0,0.0,1.0,0.0,0,0,1,,no,2,5,0
74,鈴木 優子,0.0,0.0,43,男,専門医ではない,HP,1000,4.0,3.0,18.0,0.0,1.0,2.0,0.0,0,1,0,1.0,no,2,2,0
75,渡辺 美咲,0.0,0.0,76,男,専門医ではない,HP,1700,0.0,14.0,22.0,0.0,1.0,0.0,0.0,0,0,0,7.0,no,3,2,0
76,鈴木 彩,0.0,1.0,66,男,専門医,GP,1400,2.0,16.0,3.0,0.0,1.0,1.0,0.0,4,2,0,2.0,no,3,0,0
77,鈴木 健太,0.0,0.0,28,男,専門医,HP,1400,4.0,7.0,10.0,1.0,1.0,0.0,0.0,0,0,1,8.0,no,3,1,0
78,鈴木 健太,0.0,0.0,41,男,専門医,GP,1600,0.0,5.0,9.0,0.0,0.0,0.0,0.0,3,1,1,3.0,no,2,3,0
79,山本 一郎,0.0,0.0,45,男,専門医ではない,HP,1400,8.0,7.0,22.0,0.0,1.0,0.0,0.0,1,0,2,2.0,no,3,1,1
80,山本 一郎,0.0,,71,男,専門医ではない,HP,3100,10.0,9.0,,0.0,0.0,1.0,0.0,0,3,0,5.0,no,2,2,1
81,高橋 大輔,0.0,0.0,47,男,専門医,HP,1100,8.0,7.0,19.0,0.0,0.0,1.0,0.0,0,3,1,12.0,no,2,1,1
82,加藤 彩,0.0,1.0,63,男,専門医ではない,GP&HP,2100,3.0,4.0,2.0,0.0,1.0,1.0,0.0,3,0,3,1.0,no,2,4,0
83,伊藤 美咲,0.0,1.0,48,男,専門医ではない,GP,1100,5.0,9.0,5.0,1.0,0.0,1.0,0.0,2,2,1,2.0,no,2,2,0
84,加藤 翔,0.0,0.0,58,男,専門医ではない,GP,2500,0.0,4.0,13.0,2.0,0.0,1.0,0.0,0,2,1,4.0,no,6,1,0
85,中村 結衣,1.0,0.0,41,男,専門医ではない,GP,2300,2.0,11.0,9.0,1.0,1.0,0.0,0.0,0,0,0,11.0,yes,3,4,1
86,山本 大輔,0.0,0.0,51,男,専門医ではない,GP&HP,2300,17.0,11.0,16.0,1.0,1.0,1.0,0.0,1,0,0,11.0,no,2,3,1
87,加藤 結衣,0.0,1.0,43,女,専門医,GP,1900,8.0,15.0,12.0,0.0,1.0,1.0,0.0,0,1,2,7.0,no,4,3,0
88,鈴木 健太,0.0,1.0,77,男,専門医ではない,GP,1400,3.0,6.0,21.0,0.0,0.0,1.0,1.0,1,2,0,2.0,yes,2,5,0
89,小林 翔,,0.0,69,男,専門医,GP,1600,7.0,1.0,8.0,1.0,1.0,1.0,1.0,1,1,0,1.0,no,3,2,0
90,山本 太郎,0.0,1.0,42,男,専門医ではない,GP&HP,1600,2.0,2.0,20.0,0.0,1.0,0.0,0.0,0,0,1,5.0,no,7,1,0
91,小林 大輔,0.0,0.0,50,男,専門医ではない,GP&HP,1200,3.0,1.0,13.0,0.0,1.0,0.0,0.0,1,2,1,2.0,yes,2,5,0
92,加藤 大輔,0.0,1.0,51,男,専門医,HP,1000,10.0,4.0,15.0,0.0,1.0,0.0,0.0,1,1,0,4.0,yes,6,0,0
93,田中 大輔,0.0,,71,男,専門医ではない,GP,1600,12.0,1.0,10.0,0.0,1.0,0.0,1.0,2,1,0,4.0,no,2,3,1
94,山本 花子,0.0,1.0,74,女,専門医,GP&HP,1900,3.0,3.0,7.0,0.0,0.0,0.0,0.0,1,1,0,5.0,no,2,2,0
95,渡辺 優子,0.0,0.0,31,男,専門医ではない,GP,2300,12.0,21.0,11.0,1.0,0.0,0.0,0.0,0,1,0,0.0,no,3,2,0
96,高橋 一郎,0.0,1.0,71,男,専門医ではない,HP,1100,1.0,4.0,,1.0,1.0,1.0,0.0,2,3,0,9.0,no,4,3,0
97,田中 一郎,0.0,1.0,70,男,専門医ではない,GP&HP,2300,3.0,2.0,8.0,1.0,0.0,0.0,0.0,2,2,2,2.0,no,5,4,1
98,山本 翔,0.0,0.0,63,男,専門医ではない,GP&HP,1600,10.0,0.0,21.0,1.0,1.0,0.0,0.0,0,1,1,1.0,no,1,1,0
99,山本 優子,0.0,1.0,71,男,専門医ではない,GP&HP,1300,8.0,0.0,25.0,0.0,1.0,1.0,0.0,0,0,4,9.0,no,2,2,0
100,佐藤 優子,0.0,,38,男,専門医ではない,GP&HP,1900,3.0,2.0,9.0,0.0,1.0,0.0,0.0,4,1,1,3.0,yes,2,6,1
101,中村 健太,0.0,1.0,45,男,専門医ではない,HP,1800,3.0,8.0,9.0,1.0,1.0,0.0,0.0,0,0,0,5.0,no,5,4,1
102,田中 太郎,,0.0,64,男,専門医,GP,1100,3.0,3.0,3.0,,1.0,1.0,0.0,1,2,0,6.0,yes,1,6,0
103,中村 一郎,0.0,0.0,36,男,専門医ではない,HP,1200,4.0,1.0,15.0,0.0,0.0,1.0,1.0,2,2,0,4.0,no,1,1,1
104,佐藤 翔,0.0,1.0,61,女,専門医ではない,GP,1900,9.0,2.0,12.0,0.0,0.0,0.0,1.0,2,0,2,8.0,no,1,3,1
105,山本 健太,0.0,1.0,59,男,専門医ではない,GP&HP,1300,6.0,7.0,4.0,1.0,0.0,1.0,0.0,2,3,1,2.0,no,2,1,0
106,中村 一郎,0.0,0.0,66,男,専門医ではない,GP,1500,1.0,18.0,13.0,0.0,0.0,2.0,1.0,0,1,1,8.0,yes,4,2,1
107,佐藤 彩,0.0,0.0,47,男,専門医ではない,GP,1900,1.0,3.0,21.0,0.0,1.0,0.0,0.0,1,0,0,6.0,no,3,2,0
108,加藤 翔,1.0,1.0,36,男,専門医ではない,GP&HP,3000,20.0,17.0,9.0,0.0,0.0,1.0,1.0,0,5,0,5.0,yes,2,2,1
109,高橋 花子,0.0,0.0,65,男,専門医ではない,GP,2000,16.0,6.0,6.0,1.0,0.0,0.0,1.0,2,8,1,2.0,yes,5,2,0
110,山本 健太,0.0,1.0,59,男,専門医ではない,GP,1700,7.0,6.0,15.0,0.0,0.0,0.0,0.0,1,1,4,2.0,no,2,8,1
111,山本 彩,0.0,2.0,46,男,専門医,GP&HP,2900,5.0,8.0,12.0,1.0,0.0,1.0,0.0,0,0,0,1.0,no,3,3,0
112,高橋 彩,0.0,1.0,62,女,専門医ではない,HP,2300,1.0,6.0,16.0,1.0,1.0,0.0,0.0,0,1,1,5.0,yes,1,1,0
113,山本 太郎,0.0,0.0,35,女,専門医ではない,GP&HP,1000,0.0,5.0,12.0,0.0,0.0,0.0,0.0,3,2,0,2.0,no,1,1,0
114,佐藤 翔,0.0,0.0,56,男,専門医ではない,HP,1800,5.0,6.0,12.0,0.0,1.0,0.0,0.0,2,0,0,3.0,no,3,5,0
115,加藤 翔,0.0,1.0,53,男,専門医ではない,HP,1400,9.0,13.0,17.0,1.0,2.0,2.0,1.0,1,0,4,2.0,yes,1,1,1
116,加藤 太郎,0.0,1.0,74,女,専門医ではない,HP,1100,15.0,4.0,7.0,0.0,0.0,1.0,0.0,1,1,2,3.0,no,5,3,0
117,山本 花子,0.0,,70,女,専門医ではない,HP,1100,2.0,11.0,12.0,1.0,1.0,1.0,0.0,1,4,8,11.0,no,3,0,0
118,田中 一郎,0.0,0.0,30,女,専門医,HP,1700,2.0,0.0,4.0,0.0,1.0,1.0,0.0,1,0,5,8.0,no,3,2,0
119,鈴木 翔,0.0,1.0,75,男,専門医,GP,1700,4.0,10.0,21.0,0.0,0.0,2.0,0.0,0,1,0,4.0,yes,3,1,1
120,伊藤 美咲,1.0,1.0,66,男,専門医ではない,GP&HP,1900,2.0,2.0,17.0,1.0,1.0,1.0,1.0,16,0,0,1.0,no,3,5,0
121,鈴木 結衣,0.0,1.0,62,男,専門医ではない,GP,1600,2.0,5.0,16.0,0.0,1.0,0.0,0.0,0,5,0,2.0,yes,4,0,0
122,田中 優子,0.0,1.0,71,男,専門医ではない,GP,1400,4.0,11.0,22.0,1.0,1.0,1.0,0.0,2,0,1,4.0,no,5,1,0
123,加藤 翔,1.0,1.0,41,男,専門医ではない,HP,2300,1.0,6.0,9.0,1.0,0.0,1.0,0.0,0,1,1,0.0,no,1,2,0
124,伊藤 結衣,0.0,1.0,68,男,専門医ではない,GP&HP,1700,4.0,3.0,,0.0,1.0,0.0,1.0,1,0,2,6.0,no,2,5,0
125,伊藤 翔,0.0,1.0,61,男,専門医ではない,GP&HP,1500,3.0,6.0,11.0,2.0,0.0,1.0,0.0,0,1,0,3.0,yes,1,1,0
126,山本 太郎,0.0,0.0,72,男,専門医ではない,GP,1300,0.0,20.0,17.0,1.0,2.0,0.0,0.0,2,0,1,2.0,no,2,1,0
127,山本 結衣,0.0,0.0,35,男,専門医ではない,HP,1900,1.0,2.0,13.0,0.0,0.0,1.0,0.0,0,2,1,7.0,yes,4,2,0
128,高橋 花子,0.0,1.0,56,男,専門医,HP,2200,5.0,14.0,17.0,,1.0,1.0,1.0,0,0,0,4.0,no,1,8,1
129,渡辺 結衣,0.0,1.0,66,男,専門医ではない,GP&HP,1900,5.0,8.0,14.0,1.0,0.0,0.0,0.0,0,2,2,8.0,no,2,4,0
130,田中 翔,0.0,1.0,55,男,専門医ではない,HP,1800,3.0,14.0,18.0,1.0,0.0,0.0,1.0,0,2,1,4.0,no,2,2,1
131,佐藤 彩,0.0,1.0,73,男,専門医ではない,GP&HP,1200,7.0,2.0,24.0,1.0,0.0,1.0,0.0,0,1,13,3.0,no,7,1,0
132,田中 結衣,0.0,0.0,50,男,専門医,HP,1300,1.0,11.0,22.0,1.0,0.0,1.0,0.0,3,0,2,1.0,yes,5,1,0
133,鈴木 健太,0.0,1.0,65,男,専門医ではない,GP&HP,1900,7.0,23.0,5.0,1.0,2.0,2.0,0.0,1,2,1,1.0,no,4,5,0
134,伊藤 太郎,0.0,0.0,42,男,専門医ではない,HP,1500,3.0,3.0,6.0,2.0,1.0,1.0,0.0,0,1,1,9.0,yes,1,6,1
135,佐藤 花子,0.0,1.0,45,男,専門医,GP,2000,0.0,2.0,11.0,0.0,1.0,1.0,0.0,1,4,1,2.0,no,1,3,0
136,田中 健太,0.0,1.0,29,男,専門医ではない,GP,2700,2.0,9.0,7.0,0.0,0.0,0.0,0.0,1,0,0,2.0,no,3,6,1
137,山本 優子,0.0,1.0,58,男,専門医ではない,HP,2600,6.0,3.0,4.0,0.0,1.0,0.0,0.0,0,4,1,5.0,no,2,3,0
138,伊藤 大輔,0.0,0.0,52,男,専門医,HP,2600,4.0,4.0,8.0,0.0,1.0,0.0,0.0,0,1,0,10.0,no,3,7,0
139,加藤 太郎,,1.0,45,男,専門医ではない,GP&HP,1600,1.0,8.0,4.0,1.0,0.0,0.0,0.0,2,1,1,0.0,no,2,5,0
140,小林 彩,0.0,0.0,32,男,専門医,GP,1500,4.0,9.0,10.0,1.0,0.0,1.0,0.0,1,0,0,7.0,yes,1,2,0
141,高橋 翔,1.0,2.0,40,男,専門医,GP,2200,18.0,4.0,27.0,1.0,0.0,0.0,0.0,2,0,2,6.0,no,3,2,1
142,高橋 彩,0.0,2.0,28,男,専門医,HP,2100,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1,1,1,7.0,no,1,2,0
143,高橋 一郎,0.0,1.0,51,男,専門医,GP&HP,1400,3.0,6.0,4.0,1.0,0.0,0.0,0.0,1,1,0,7.0,no,1,1,0
144,山本 美咲,0.0,1.0,28,男,専門医ではない,GP,1400,9.0,5.0,5.0,1.0,1.0,1.0,0.0,0,0,0,12.0,yes,3,5,1
145,中村 一郎,0.0,2.0,62,男,専門医ではない,HP,1700,5.0,4.0,10.0,0.0,1.0,1.0,0.0,1,5,0,6.0,yes,2,1,1
146,山本 優子,1.0,1.0,74,男,専門医,HP,2800,2.0,6.0,11.0,0.0,1.0,0.0,0.0,1,0,1,4.0,no,4,2,0
147,高橋 彩,0.0,1.0,55,男,専門医ではない,GP&HP,2000,8.0,6.0,16.0,0.0,0.0,0.0,0.0,1,0,1,3.0,yes,6,3,0
148,中村 大輔,0.0,1.0,64,男,専門医ではない,GP,1800,6.0,10.0,15.0,1.0,2.0,1.0,0.0,1,2,3,3.0,yes,11,2,1
149,鈴木 健太,1.0,1.0,49,男,専門医ではない,GP&HP,1500,3.0,4.0,6.0,1.0,0.0,1.0,1.0,2,0,0,13.0,no,2,7,0
150,鈴木 一郎,0.0,2.0,61,男,専門医,HP,1700,3.0,11.0,14.0,1.0,0.0,1.0,0.0,2,1,1,4.0,no,2,4,1
151,佐藤 大輔,0.0,0.0,56,男,専門医,HP,1000,1.0,0.0,3.0,0.0,0.0,1.0,0.0,4,0,1,7.0,yes,3,2,0
152,小林 彩,0.0,1.0,32,男,専門医ではない,HP,1000,14.0,4.0,7.0,0.0,1.0,0.0,0.0,0,0,4,5.0,no,5,3,1
153,伊藤 翔,0.0,,29,男,専門医ではない,HP,1100,4.0,12.0,15.0,0.0,0.0,1.0,0.0,0,1,1,3.0,no,3,6,1
154,加藤 健太,0.0,0.0,57,男,専門医ではない,GP&HP,1200,13.0,10.0,8.0,0.0,1.0,0.0,0.0,1,1,0,10.0,yes,1,2,0
155,田中 太郎,0.0,1.0,40,男,専門医,GP&HP,2800,8.0,4.0,6.0,1.0,1.0,1.0,0.0,0,0,1,1.0,no,3,0,0
156,中村 花子,1.0,1.0,30,男,専門医,HP,1000,9.0,2.0,8.0,0.0,1.0,0.0,0.0,2,0,0,0.0,no,2,1,0
157,鈴木 結衣,0.0,1.0,32,男,専門医ではない,HP,1600,5.0,4.0,11.0,1.0,2.0,0.0,0.0,0,1,0,9.0,no,2,3,0
158,小林 太郎,0.0,0.0,74,女,専門医ではない,GP,1200,,8.0,20.0,0.0,0.0,1.0,0.0,2,1,1,2.0,no,2,3,1
159,山本 大輔,0.0,0.0,32,男,専門医,GP&HP,1300,3.0,3.0,10.0,1.0,0.0,1.0,0.0,0,0,1,2.0,no,3,2,0
160,鈴木 花子,0.0,0.0,49,男,専門医,HP,2100,7.0,6.0,12.0,1.0,0.0,1.0,0.0,0,1,1,2.0,no,3,3,0
161,高橋 翔,0.0,1.0,28,男,専門医ではない,GP,1100,9.0,4.0,18.0,1.0,1.0,1.0,0.0,2,2,2,6.0,no,1,0,0
162,小林 美咲,0.0,1.0,58,女,専門医ではない,GP&HP,1500,11.0,0.0,9.0,1.0,1.0,0.0,0.0,2,0,2,9.0,yes,0,4,0
163,鈴木 大輔,0.0,1.0,61,男,専門医ではない,GP,1800,0.0,3.0,10.0,1.0,0.0,0.0,0.0,2,1,1,2.0,no,4,2,0
164,加藤 大輔,0.0,1.0,76,男,専門医,GP,1700,4.0,10.0,14.0,0.0,0.0,1.0,0.0,1,0,0,4.0,no,9,3,0
